2000,0,3,SI3,1,0,0,0,2,CO3,0,0,0,500,8,RESAMP,0,0,0,0,0,PRD,0,0,0,70,6,PRD,0.000,0,1
DRIVE S300
81,200.0
VCMD,V,PE,I
450,449,0,2.304
450,447.399,0,2.432
450,403,0,19.8
450,383,0,50.11
450,388.300,0,76.79
450,394.899,0,99.92
450,404.699,0,122.5
450,454.899,0,116.9
450,472.600,0,105.3
450,456.800,0,100.2
450,445.800,0,103.7
450,446.100,0,104.9
450,452.600,0,101.9
450,451.399,0,103.3
450,451.600,0,103.3
450,449.199,0,103.6
450,450.899,0,103
450,449.5,0,102.1
450,451.199,0,101.7
450,450.199,0,104.6
450,452.399,0,103.9
450,449,0,103.7
450,450.699,0,102
450,448.199,0,102.5
450,449.899,0,103
450,448.600,0,104.7
450,450.300,0,104.9
450,447.899,0,107
450,449.199,0,108.2
450,448.699,0,107.2
450,450.699,0,108
450,449.800,0,108
450,451.199,0,105.8
450,448.100,0,106
450,453.399,0,106.3
450,451.399,0,108.2
450,452.5,0,105.1
450,450,0,101.6
450,452.300,0,101.1
450,449.899,0,101.6
450,451.300,0,100.6
450,449.600,0,102.1
450,451.300,0,103.3
450,448.899,0,105.8
450,449.199,0,104.1
450,450.100,0,103.5
450,451,0,103.4
450,451.600,0,102.6
450,452.100,0,102.7
450,452.100,0,103.1
450,452.100,0,102.4
450,451,0,103
450,453.399,0,100.8
450,452.399,0,101.4
450,455,0,99.71
450,453,0,99.62
450,453.300,0,99.54
450,450.800,0,100.3
450,453.899,0,98.81
450,452.100,0,99.75
450,453.199,0,99.92
450,417.899,0,78.54
450,274,0,72.13
450,123,0,72.18
450,76.340,0,71.92
450,112.5,0,71.96
450,92.409,0,71.92
450,102.299,0,71.88
450,100.099,0,71.45
450,101.5,0,72.05
450,101.200,0,71.54
450,100.299,0,71.88
450,98.950,0,72.01
450,101,0,71.54
450,98.769,0,71.84
450,96.150,0,71.54
450,102.299,0,71.45
450,100.5,0,71.37
450,100,0,71.49
450,102.299,0,71.45
450,98.560,0,71.32
